Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Débarquements des produits de la pêche côtière et artisanale par espèce en valeur,
frequence,Annuelle,
Scenario ,Reel,
Source ,Office National des Pêches,ONP
Période disponible ,2008 - 2022,
Date de dernière mise à jour ,2023-05-08 11:48:04.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Débarquements des produits de la pêche côtière et artisanale (en Valeur),
Unité,Dirham,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
Port de débarquement de la pêche maritime,Total General,
Région/Province,Total des régions,
