Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Indice de la production énergétique base 1998 (Trimestrielle),
frequence,Trimestrielle,
Scenario ,Reel,
Source ,Haut Commissariat au Plan,
Période disponible ,2005T1 - 2013T4,
Date de dernière mise à jour ,2014-05-13 15:27:01.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Indice de la production énergétique (1998),
Unité,Sans unité,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
